Date,Station,Entries
3/11/2023,Franconia-Springfield,872.0
3/11/2023,Virginia Sq-GMU,428.0
3/11/2023,Van Ness-UDC,15.0
3/11/2023,Fort Totten,20.0
3/11/2023,Landover,17.0
3/11/2023,Spring Hill,164.0
3/10/2023,Tenleytown-AU,387.0
3/10/2023,Smithsonian,209.0
3/10/2023,Benning Road,76.0
3/11/2023,Landover,66.0
3/10/2023,Capitol Heights,47.0
3/10/2023,Navy Yard-Ballpark,1508.0
3/10/2023,Brookland-CUA,755.0
3/11/2023,L'Enfant Plaza,257.0
3/11/2023,Foggy Bottom-GWU,485.0
3/10/2023,Deanwood,34.0
3/10/2023,Van Dorn Street,55.0
3/10/2023,Waterfront,446.0
3/11/2023,Forest Glen,66.0
3/11/2023,Court House,172.0
3/10/2023,Benning Road,6.0
3/11/2023,Van Ness-UDC,175.0
3/11/2023,New Carrollton,215.0
3/11/2023,Eastern Market,136.0
3/11/2023,West Falls Church,42.0
3/10/2023,Van Ness-UDC,16.0
3/10/2023,Grosvenor-Strathmore,100.0
3/11/2023,Vienna,278.0
3/10/2023,Tenleytown-AU,17.0
3/10/2023,Clarendon,50.0
3/10/2023,Wheaton,14.0
3/11/2023,Addison Road,2.0
3/13/2023,Tenleytown-AU,539.0
3/13/2023,Southern Ave,1021.0
3/13/2023,Federal Center SW,179.0
3/13/2023,Brookland-CUA,714.0
3/13/2023,Southern Ave,332.0
3/13/2023,Bethesda,912.0
3/13/2023,Mt Vernon Sq,835.0
3/13/2023,Benning Road,63.0
3/13/2023,Pentagon,3010.0
3/13/2023,Archives,307.0
3/13/2023,College Park-U of Md,555.0
3/13/2023,Smithsonian,4143.0
3/13/2023,College Park-U of Md,345.0
3/13/2023,Cleveland Park,487.0
3/13/2023,East Falls Church,499.0
3/13/2023,Deanwood,271.0
3/13/2023,Morgan Boulevard,382.0
3/13/2023,Suitland,224.0
3/13/2023,U Street,692.0
3/13/2023,Capitol Heights,533.0
3/13/2023,Smithsonian,191.0
3/12/2023,College Park-U of Md,4.0
3/12/2023,Landover,1.0
3/12/2023,Judiciary Square,6.0
3/12/2023,Pentagon City,4.0
3/14/2023,Gallery Place,4742.0
3/14/2023,L'Enfant Plaza,763.0
3/14/2023,U Street,781.0
3/14/2023,Union Station,4616.0
3/14/2023,Columbia Heights,2038.0
3/14/2023,Cheverly,71.0
3/14/2023,Fort Totten,1067.0
3/13/2023,Hyattsville Crossing,4.0
3/14/2023,Dupont Circle,1853.0
3/14/2023,Pentagon City,1301.0
3/14/2023,Dunn Loring,61.0
3/14/2023,Deanwood,40.0
3/13/2023,Union Station,12.0
3/14/2023,U Street,989.0
3/14/2023,Grosvenor-Strathmore,1496.0
3/14/2023,Bethesda,999.0
3/14/2023,Van Ness-UDC,698.0
3/14/2023,Downtown Largo,183.0
3/14/2023,Huntington,327.0
3/14/2023,East Falls Church,340.0
3/13/2023,Ronald Reagan Washington National Airport,13.0
3/13/2023,West Falls Church,7.0
3/14/2023,Cheverly,80.0
3/14/2023,Woodley Park,878.0
3/14/2023,West Falls Church,248.0
3/14/2023,Takoma,637.0
